feature,mean_abs_shap_cri_direction,mean_shap_cri_direction
sales_signed_amount_asinh,0.5311139764265488,-0.2015087122739944
sales_positive_amount_log,0.3366920323774274,-0.1810918436054428
sales_recent12_log,0.3006702859033857,-0.12924430614730428
sales_top5_share,0.2907297622102002,-0.041164491288389185
sales_hhi,0.20963060964267397,-0.04909741700447712
sales_monthly_cv_log,0.13656974432682042,-0.07195723095409032
sales_invoice_count_log,0.08976990759983498,-0.022141482008414134
sales_void_rate,0.07697032893084112,-0.046177087309404306
sales_active_ratio,0.07578250825774872,-0.030925228686051694
sales_counterparty_count_log,0.06326770757547097,-0.032890058803399846
purchase_recent12_log,0.026271663947525586,0.010128150942677328
purchase_positive_amount_log,0.02194278780023914,0.0030730360740957204
business_scale_log,0.019424386184945262,-0.013292278820613452
purchase_signed_amount_asinh,0.008099285607430624,0.0021203907331588064
